0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
PANCHKULA,0.00%,0.00%,100.00%,8.83%,79.23%,11.95%,31.57%,37.36%,31.07%,20.49%,79.51%,9.43%,90.57%,2.31%,16.14%,81.55%,PANCHKULA,96.58%,3.42%,99.91%,0.09%,undefined%,undefined%,undefined%,79.83%,20.17%,87.84%,12.16%,59.72%,40.28%
JHAJJAR,0.00%,0.00%,0.00%,14.02%,85.86%,0.12%,98.11%,1.71%,0.18%,1.36%,98.64%,37.02%,62.98%,0.06%,69.73%,30.21%,JHAJJAR,96.60%,3.40%,100.00%,0.00%,undefined%,undefined%,undefined%,51.43%,48.57%,87.82%,12.18%,90.67%,9.33%
KAITHAL,0.00%,0.00%,100.00%,27.97%,53.23%,18.80%,27.66%,30.99%,41.35%,66.00%,34.00%,86.97%,13.03%,1.92%,45.22%,52.86%,KAITHAL,98.87%,1.13%,39.50%,60.50%,undefined%,undefined%,undefined%,77.33%,22.67%,59.16%,40.84%,62.20%,37.80%
JIND,0.00%,0.00%,0.00%,0.13%,61.67%,38.20%,88.39%,11.41%,0.20%,0.24%,99.76%,77.56%,22.44%,0.07%,19.89%,80.03%,JIND,99.91%,0.09%,0.00%,0.00%,undefined%,undefined%,undefined%,94.69%,5.31%,89.11%,10.89%,98.92%,1.08%
SIRSA,0.76%,12.59%,86.65%,2.41%,27.43%,70.15%,22.93%,22.91%,54.17%,23.58%,76.42%,41.75%,58.25%,2.24%,3.72%,94.04%,SIRSA,63.84%,36.16%,73.80%,26.20%,undefined%,undefined%,undefined%,22.70%,77.30%,37.72%,62.28%,14.00%,86.00%
REWARI,0.00%,0.00%,0.00%,10.73%,87.44%,1.83%,69.19%,27.52%,3.30%,0.00%,100.00%,0.00%,100.00%,0.00%,1.00%,99.00%,REWARI,99.91%,0.09%,0.00%,0.00%,undefined%,undefined%,undefined%,99.33%,0.67%,99.24%,0.76%,99.88%,0.12%
MAHENDRAGARH,0.02%,0.19%,99.80%,0.25%,70.65%,29.10%,34.75%,30.23%,35.02%,19.79%,80.21%,32.86%,67.14%,0.36%,10.62%,89.02%,MAHENDRAGARH,95.96%,4.04%,47.16%,52.84%,undefined%,undefined%,undefined%,41.08%,58.92%,61.45%,38.55%,83.03%,16.97%
PALWAL,0.00%,0.00%,0.00%,0.00%,99.74%,0.26%,97.92%,2.07%,0.01%,0.33%,99.67%,90.93%,9.07%,0.00%,29.97%,70.03%,PALWAL,99.20%,0.80%,0.00%,0.00%,undefined%,undefined%,undefined%,95.14%,4.86%,98.86%,1.14%,95.35%,4.65%
FARIDABAD,0.00%,0.00%,0.00%,0.00%,68.38%,31.62%,100.00%,0.00%,0.00%,0.00%,100.00%,38.56%,61.44%,0.00%,0.00%,100.00%,FARIDABAD,0.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,99.95%,0.05%,99.44%,0.56%,100.00%,0.00%
NUH,0.00%,0.00%,100.00%,19.96%,41.27%,38.77%,52.35%,31.96%,15.69%,0.00%,100.00%,62.91%,37.09%,0.00%,7.78%,92.22%,NUH,97.85%,2.15%,31.08%,68.92%,undefined%,undefined%,undefined%,68.52%,31.48%,78.61%,21.39%,85.01%,14.99%
BHIWANI,0.00%,0.00%,100.00%,22.54%,75.21%,2.25%,33.15%,63.10%,3.75%,54.23%,45.77%,59.52%,40.48%,6.34%,36.56%,57.10%,BHIWANI,95.18%,4.82%,92.45%,7.55%,undefined%,undefined%,undefined%,33.33%,66.67%,74.66%,25.34%,89.91%,10.09%
YAMUNANAGAR,0.00%,0.00%,100.00%,19.94%,49.93%,30.12%,10.42%,32.93%,56.65%,3.25%,96.75%,13.32%,86.68%,1.88%,49.63%,48.49%,YAMUNANAGAR,96.71%,3.29%,100.00%,0.00%,undefined%,undefined%,undefined%,87.58%,12.42%,88.27%,11.73%,18.44%,81.56%
CHARKI DADRI,0.00%,0.00%,0.00%,12.63%,79.01%,8.36%,43.87%,40.13%,15.99%,0.00%,100.00%,39.55%,60.45%,0.05%,3.50%,96.45%,CHARKI DADRI,97.11%,2.89%,0.00%,0.00%,undefined%,undefined%,undefined%,88.60%,11.40%,73.50%,26.50%,99.60%,0.40%
KARNAL,0.00%,0.00%,100.00%,33.69%,5.50%,60.81%,92.33%,7.38%,0.29%,22.13%,77.87%,35.76%,64.24%,0.02%,0.89%,99.08%,KARNAL,99.79%,0.21%,11.98%,88.02%,undefined%,undefined%,undefined%,96.96%,3.04%,99.30%,0.70%,98.69%,1.31%
AMBALA,0.00%,0.00%,100.00%,7.96%,52.95%,39.09%,12.54%,37.88%,49.58%,17.53%,82.47%,47.05%,52.95%,1.01%,39.53%,59.47%,AMBALA,85.52%,14.48%,100.00%,0.00%,undefined%,undefined%,undefined%,81.39%,18.61%,78.77%,21.23%,53.69%,46.31%
FATEHABAD,0.00%,0.00%,100.00%,20.81%,78.92%,0.26%,73.05%,15.87%,11.08%,72.74%,27.26%,80.78%,19.22%,0.15%,18.32%,81.53%,FATEHABAD,94.96%,5.04%,88.19%,11.81%,undefined%,undefined%,undefined%,51.27%,48.73%,86.53%,13.47%,58.19%,41.81%
PANIPAT,0.00%,0.00%,100.00%,3.91%,69.06%,27.03%,37.27%,54.19%,8.53%,60.99%,39.01%,51.59%,48.41%,0.43%,11.87%,87.70%,PANIPAT,99.60%,0.40%,99.84%,0.16%,undefined%,undefined%,undefined%,90.66%,9.34%,91.94%,8.06%,84.81%,15.19%
KURUKSHETRA,0.19%,19.36%,80.45%,5.49%,79.70%,14.81%,78.11%,19.64%,2.25%,47.95%,52.05%,58.34%,41.66%,0.48%,13.13%,86.39%,KURUKSHETRA,97.63%,2.37%,93.99%,6.01%,undefined%,undefined%,undefined%,81.96%,18.04%,91.82%,8.18%,91.23%,8.77%
GURUGRAM,0.00%,0.00%,100.00%,0.26%,33.57%,66.18%,37.46%,57.33%,5.20%,21.65%,78.35%,50.47%,49.53%,0.09%,21.76%,78.15%,GURUGRAM,50.00%,50.00%,0.00%,0.00%,undefined%,undefined%,undefined%,81.77%,18.23%,99.24%,0.76%,88.57%,11.43%
HISAR,0.00%,0.00%,100.00%,9.48%,79.30%,11.22%,43.98%,34.12%,21.91%,0.71%,99.29%,45.48%,54.52%,0.30%,20.83%,78.87%,HISAR,86.72%,13.28%,28.47%,71.53%,undefined%,undefined%,undefined%,43.40%,56.60%,60.14%,39.86%,82.23%,17.77%
SONIPAT,0.00%,0.00%,100.00%,5.48%,55.10%,39.41%,60.87%,23.97%,15.15%,22.41%,77.59%,27.42%,72.58%,0.78%,17.32%,81.90%,SONIPAT,92.02%,7.98%,57.29%,42.71%,undefined%,undefined%,undefined%,40.03%,59.97%,56.65%,43.35%,35.20%,64.80%
