0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
WOKHA,14.21%,70.50%,15.29%,2.21%,26.14%,71.64%,0.07%,10.57%,89.36%,61.14%,38.86%,10.50%,89.50%,98.43%,1.29%,0.29%,WOKHA,86.36%,13.64%,93.64%,6.36%,undefined%,undefined%,undefined%,49.86%,50.14%,79.57%,20.43%,64.88%,35.12%
KIPHIRE,14.26%,75.26%,10.48%,29.45%,50.10%,20.44%,33.33%,42.87%,23.79%,76.29%,23.71%,15.83%,84.17%,94.03%,5.77%,0.21%,KIPHIRE,96.54%,3.46%,99.58%,0.42%,undefined%,undefined%,undefined%,79.66%,20.34%,87.11%,12.89%,88.89%,11.11%
MON,20.56%,77.94%,1.50%,0.19%,99.81%,0.00%,81.06%,18.44%,0.50%,93.93%,6.07%,0.13%,99.88%,100.00%,0.00%,0.00%,MON,99.38%,0.63%,100.00%,0.00%,undefined%,undefined%,undefined%,99.75%,0.25%,100.00%,0.00%,96.68%,3.32%
Chumoukedima,0.00%,52.62%,47.38%,0.00%,99.48%,0.52%,92.93%,6.81%,0.26%,95.03%,4.97%,0.00%,100.00%,99.74%,0.00%,0.26%,Chumoukedima,99.48%,0.52%,36.13%,63.87%,undefined%,undefined%,undefined%,99.74%,0.26%,92.93%,7.07%,6.65%,93.35%
PEREN,9.76%,79.72%,10.51%,0.38%,8.89%,90.74%,14.64%,84.36%,1.00%,91.70%,8.30%,49.69%,50.31%,99.75%,0.13%,0.13%,PEREN,88.49%,11.51%,100.00%,0.00%,undefined%,undefined%,undefined%,99.25%,0.75%,69.47%,30.53%,99.75%,0.25%
TUENSANG,0.39%,7.84%,91.77%,3.30%,66.01%,30.68%,63.27%,36.28%,0.45%,72.00%,28.00%,1.40%,98.60%,94.11%,5.67%,0.22%,TUENSANG,91.04%,8.96%,99.33%,0.67%,undefined%,undefined%,undefined%,60.97%,39.03%,87.96%,12.04%,63.39%,36.61%
ZUNHEBOTO,4.50%,71.25%,24.25%,28.50%,70.25%,1.25%,89.38%,10.44%,0.19%,96.75%,3.25%,4.94%,95.06%,99.81%,0.19%,0.00%,ZUNHEBOTO,99.88%,0.13%,87.00%,13.00%,undefined%,undefined%,undefined%,81.50%,18.50%,77.19%,22.81%,99.94%,0.06%
KOHIMA,0.60%,22.65%,76.75%,24.25%,72.85%,2.89%,22.75%,11.98%,65.27%,95.51%,4.49%,14.87%,85.13%,92.32%,7.19%,0.50%,KOHIMA,99.20%,0.80%,94.59%,5.41%,undefined%,undefined%,undefined%,96.11%,3.89%,69.40%,30.60%,69.17%,30.83%
LONGLENG,12.50%,54.33%,33.17%,64.00%,34.00%,2.00%,38.67%,35.00%,26.33%,69.14%,30.86%,71.33%,28.67%,96.50%,3.17%,0.33%,LONGLENG,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,93.00%,7.00%,100.00%,0.00%,98.67%,1.33%
PHEK,0.25%,54.40%,45.35%,7.92%,89.58%,2.50%,53.96%,40.11%,5.93%,93.91%,6.09%,28.90%,71.10%,86.03%,13.72%,0.25%,PHEK,97.53%,2.47%,97.50%,2.50%,undefined%,undefined%,undefined%,72.24%,27.76%,89.38%,10.63%,51.88%,48.13%
Noklak,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,42.86%,57.14%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,Noklak,71.43%,28.57%,100.00%,0.00%,undefined%,undefined%,undefined%,0.00%,100.00%,85.71%,14.29%,0.00%,100.00%
MOKOKCHUNG,0.06%,77.86%,22.09%,11.49%,40.98%,47.53%,54.65%,37.05%,8.30%,100.00%,0.00%,2.86%,97.14%,100.00%,0.00%,0.00%,MOKOKCHUNG,72.53%,27.47%,100.00%,0.00%,undefined%,undefined%,undefined%,99.94%,0.06%,74.05%,25.95%,77.17%,22.83%
Tseminyu,0.25%,44.20%,55.56%,29.63%,69.63%,0.74%,8.40%,53.83%,37.78%,98.02%,1.98%,1.48%,98.52%,100.00%,0.00%,0.00%,Tseminyu,99.75%,0.25%,98.52%,1.48%,undefined%,undefined%,undefined%,99.26%,0.74%,51.37%,48.63%,100.00%,0.00%
DIMAPUR,0.12%,47.63%,52.25%,0.85%,98.06%,1.09%,95.75%,3.04%,1.22%,67.40%,32.60%,0.49%,99.51%,97.81%,1.46%,0.73%,DIMAPUR,92.71%,7.29%,53.83%,46.17%,undefined%,undefined%,undefined%,99.88%,0.12%,78.74%,21.26%,37.47%,62.53%
